domain,regime,condition,method,seed,metric,value,reference_value,delta,unit,source_artifact,source_sha256
autonomous_driving,gaussian,sigma_0p0,clipping,456,success_rate,1.0,1.0,0.0,fraction,results/safety/clipping/runs/autonomous_driving-seed-456.json,07813e4f5186ee162a68d7329d0b2c56d7aea2546d8f02ea25885769769fd89e
autonomous_driving,gaussian,sigma_0p0,clipping,456,violation_step_rate,0.0,0.0,0.0,fraction,results/safety/clipping/runs/autonomous_driving-seed-456.json,07813e4f5186ee162a68d7329d0b2c56d7aea2546d8f02ea25885769769fd89e
autonomous_driving,gaussian,sigma_0p0,lyapunov,42,constraint_violation_rate,0.0,0.0,0.0,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,gaussian,sigma_0p0,lyapunov,42,critical_violation_rate,0.0,0.0,0.0,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,gaussian,sigma_0p0,lyapunov,42,episode_length,100.0,,,steps,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,gaussian,sigma_0p0,lyapunov,42,intervention_rate,0.0,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,gaussian,sigma_0p0,lyapunov,42,mean_correction_l2,0.0,,,normalized_action,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,gaussian,sigma_0p0,lyapunov,42,reward,-11.330714319001789,-11.330714319001789,0.0,reward,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,gaussian,sigma_0p0,lyapunov,42,success_rate,0.0,0.0,0.0,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,gaussian,sigma_0p0,lyapunov,42,violation_step_rate,0.0,0.0,0.0,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-42.json,1d2a57d6f4d86a780a5808dc62db4f8f294bebe606da4e2cd4c3db43b6d4677f
autonomous_driving,gaussian,sigma_0p0,lyapunov,123,constraint_violation_rate,0.0,0.0,0.0,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,gaussian,sigma_0p0,lyapunov,123,critical_violation_rate,0.0,0.0,0.0,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,gaussian,sigma_0p0,lyapunov,123,episode_length,100.0,,,steps,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,gaussian,sigma_0p0,lyapunov,123,intervention_rate,0.839,,,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,gaussian,sigma_0p0,lyapunov,123,mean_correction_l2,0.2459494072794914,,,normalized_action,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,gaussian,sigma_0p0,lyapunov,123,reward,-8.588031328756164,-8.588031328756164,0.0,reward,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
autonomous_driving,gaussian,sigma_0p0,lyapunov,123,success_rate,0.0,0.0,0.0,fraction,results/safety/lyapunov-driving/runs/autonomous_driving-seed-123.json,ee06dbcdb19327ef928a932ab112e6110cab96800d5fa3745e53b8f8ef0e91c5
