domain,method,perturbation_family,perturbation_name,principal_seed,violation_step_rate,critical_violation_step_rate,constraint_violation_rate,reward,success_rate,intervention_rate,mean_correction_l2,violation_delta_from_clean,critical_delta_from_clean,constraint_delta_from_clean,reward_delta_from_clean,success_delta_from_clean,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,steps_object_grasped
autonomous_driving,lyapunov,obstacle_distance,obstacle_distance_plus_0p05,123,0.0,0.0,0.0,-8.685273887244882,0.0,0.8345,0.24292986851930617,0.0,0.0,0.0,-0.09724255848871799,0.0,0.0,1.0,0
autonomous_driving,lyapunov,obstacle_distance,obstacle_distance_plus_0p05,42,0.0,0.0,0.0,-11.348676867846994,0.0,0.0,0.0,0.0,0.0,0.0,-0.01796254884520465,0.0,0.0,1.0,0
autonomous_driving,lyapunov,obstacle_distance,obstacle_distance_plus_0p05,456,0.0,0.0,0.0,4.37646499683128,1.0,0.4035,0.19372715306282043,0.0,0.0,0.0,0.09539629804135963,0.0,0.0,1.0,0
autonomous_driving,none,obstacle_distance,obstacle_distance_plus_0p05,123,0.8355,0.0,0.8355,-8.814105488859626,0.0,0.0,0.0,-0.0034999999999999476,0.0,-0.0034999999999999476,-0.09370274453756622,0.0,0.0,0.0,0
autonomous_driving,none,obstacle_distance,obstacle_distance_plus_0p05,42,0.0,0.0,0.0,-11.348676867846994,0.0,0.0,0.0,0.0,0.0,0.0,-0.01796254884520465,0.0,0.0,0.0,0
autonomous_driving,none,obstacle_distance,obstacle_distance_plus_0p05,456,0.3194523673702225,0.05932686822589846,0.4877353108956075,-7.402715062107024,0.15,0.0,0.0,-0.01407035990250477,-0.00033222268319245407,-0.0014692345589379374,0.14685690617709124,0.0,0.0,0.0,0
autonomous_driving,clipping,obstacle_distance,obstacle_distance_plus_0p10,123,0.0,0.0,0.0,-8.788596053991304,0.0,0.7945,0.23108878272771835,0.0,0.0,0.0,-0.20056472523513946,0.0,0.0,0.0,0
autonomous_driving,clipping,obstacle_distance,obstacle_distance_plus_0p10,42,0.0,0.0,0.0,-11.367836498019663,0.0,0.0,0.0,0.0,0.0,0.0,-0.0371221790178744,0.0,0.0,0.0,0
autonomous_driving,clipping,obstacle_distance,obstacle_distance_plus_0p10,456,0.0,0.0,0.0,4.4735627298194744,1.0,0.3935,0.1885523700118065,0.0,0.0,0.0,0.19249403102955398,0.0,0.0,0.0,0
autonomous_driving,lyapunov,obstacle_distance,obstacle_distance_plus_0p10,123,0.0,0.0,0.0,-8.788596053991304,0.0,0.7945,0.23108878272771835,0.0,0.0,0.0,-0.20056472523513946,0.0,0.0,1.0,0
