domain,method,perturbation_family,perturbation_name,principal_seed,perturbed_violation_step_rate,executed_violation_step_rate,executed_constraint_violation_rate,critical_violation_step_rate,mean_reward,success_rate,intervention_rate,mean_safety_correction_l2,p95_safety_correction_l2,recovery_rate,within_filter_violation_reduction,executed_violation_delta_from_clean,reward_delta_from_clean,success_delta_from_clean,selected_lower_than_perturbed_rate,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,environment_interface_adjustment_rate,proposed_to_perturbed_gripper_semantic_change_rate,perturbed_to_executed_gripper_semantic_change_rate,unsafe_perturbed_steps,recovered_unsafe_steps,unresolved_unsafe_steps,steps_object_grasped,interventions_while_grasped,perturbed_unsafe_steps_while_grasped
autonomous_driving,none,braking,braking_minus_0p25,123,0.843,0.843,0.843,0.0,-8.222232975915388,0.0,0.0,0.0,0.0,0.0,0.0,0.0040000000000000036,0.4981697684066724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686,0,1686,0,0,0
autonomous_driving,none,braking,braking_minus_0p25,42,0.0,0.0,0.0,0.0,-11.755319911296027,0.0,0.0,0.0,0.0,,,0.0,-0.4246055922942382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
autonomous_driving,none,braking,braking_minus_0p25,456,0.11701492537313433,0.11701492537313433,0.1862686567164179,0.057313432835820896,-8.620792568568657,0.05,0.0,0.0,0.0,0.0,0.0,-0.2165078018995929,-1.0712206002845415,-0.09999999999999999,0.0,0.0,0.0,0.6740298507462686,0.0,0.0,196,0,196,0,0,0
autonomous_driving,clipping,braking,braking_plus_0p10,123,0.838,0.0,0.0,0.0,-8.855153352892946,0.0,0.838,0.2455838080048561,0.33261871337890625,1.0,1.0,0.0,-0.267122024136782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1676,1676,0,0,0,0
autonomous_driving,clipping,braking,braking_plus_0p10,42,0.0,0.0,0.0,0.0,-11.552453678018578,0.0,0.0,0.0,0.0,,,0.0,-0.2217393590167891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
autonomous_driving,clipping,braking,braking_plus_0p10,456,0.8295,0.0,0.0,0.0,-1.7158271713913469,0.2,0.8295,0.6140203703641891,0.767488956451416,1.0,1.0,0.0,-5.996895870181268,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,1659,1659,0,0,0,0
autonomous_driving,lyapunov,braking,braking_plus_0p10,123,0.838,0.0,0.0,0.0,-8.855153352892946,0.0,0.838,0.2455838080048561,0.33261871337890625,1.0,1.0,0.0,-0.267122024136782,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1676,1676,0,0,0,0
autonomous_driving,lyapunov,braking,braking_plus_0p10,42,0.0,0.0,0.0,0.0,-11.552453678018578,0.0,0.0,0.0,0.0,,,0.0,-0.2217393590167891,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
autonomous_driving,lyapunov,braking,braking_plus_0p10,456,0.8295,0.0,0.0,0.0,-1.7158271713913469,0.2,0.8295,0.6140203703641891,0.767488956451416,1.0,1.0,0.0,-5.996895870181268,-0.8,0.0,0.0,1.0,0.0,0.0,0.0,1659,1659,0,0,0,0
autonomous_driving,none,braking,braking_plus_0p10,123,0.8385,0.8385,0.8385,0.0,-8.990189391345426,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004999999999999449,-0.2697866470233663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1677,0,1677,0,0,0
autonomous_driving,none,braking,braking_plus_0p10,42,0.0,0.0,0.0,0.0,-11.552453678018578,0.0,0.0,0.0,0.0,,,0.0,-0.2217393590167891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
autonomous_driving,none,braking,braking_plus_0p10,456,0.8685,0.8685,1.1585,0.0815,4.115546386044188,1.0,0.0,0.0,0.0,0.0,0.0,0.5349772727272728,11.665118354328303,0.85,0.0,0.0,0.0,0.0,0.0,0.0,1737,0,1737,0,0,0
autonomous_driving,clipping,braking,braking_plus_0p25,123,0.838,0.0,0.0,0.0,-9.328177573829532,0.0,0.838,0.24545385378599166,0.3326132297515869,1.0,1.0,0.0,-0.7401462450733671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1676,1676,0,0,0,0
autonomous_driving,clipping,braking,braking_plus_0p25,42,0.0,0.0,0.0,0.0,-11.930551190990247,0.0,0.0,0.0,0.0,,,0.0,-0.5998368719884581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
autonomous_driving,clipping,braking,braking_plus_0p25,456,1.0,0.0,0.0,0.0,-4.186990539427014,0.0,1.0,0.7665456992387771,0.7900912761688232,1.0,1.0,0.0,-8.468059238216934,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,2000,0,0,0,0
autonomous_driving,lyapunov,braking,braking_plus_0p25,123,0.838,0.0,0.0,0.0,-9.328177573829532,0.0,0.838,0.24545385378599166,0.3326132297515869,1.0,1.0,0.0,-0.7401462450733671,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1676,1676,0,0,0,0
autonomous_driving,lyapunov,braking,braking_plus_0p25,42,0.0,0.0,0.0,0.0,-11.930551190990247,0.0,0.0,0.0,0.0,,,0.0,-0.5998368719884581,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
autonomous_driving,lyapunov,braking,braking_plus_0p25,456,1.0,0.0,0.0,0.0,-4.186990539427014,0.0,1.0,0.7665456992387771,0.7900912761688232,1.0,1.0,0.0,-8.468059238216934,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,2000,2000,0,0,0,0
autonomous_driving,none,braking,braking_plus_0p25,123,0.8385,0.8385,0.8385,0.0,-9.466785620058955,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004999999999999449,-0.7463828757368951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1677,0,1677,0,0,0
autonomous_driving,none,braking,braking_plus_0p25,42,0.0,0.0,0.0,0.0,-11.930551190990247,0.0,0.0,0.0,0.0,,,0.0,-0.5998368719884581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
autonomous_driving,none,braking,braking_plus_0p25,456,1.0,1.0,1.0,0.0,4.457451274603651,0.9,0.0,0.0,0.0,0.0,0.0,0.6664772727272728,12.007023242887765,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2000,0,2000,0,0,0
autonomous_driving,clipping,steering,steering_minus_0p10,123,0.2925,0.0,0.0,0.0,-22.573891126503202,0.0,0.2925,0.08049866181612014,0.2861745357513428,1.0,1.0,0.0,-13.985859797747038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585,585,0,0,0,0
autonomous_driving,clipping,steering,steering_minus_0p10,42,0.1465,0.1465,0.1465,0.0,-47.853571378019595,0.0,0.1465,0.010367757324129343,0.07594440132379532,0.0,0.0,0.1465,-36.52285705901781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293,0,293,0,0,0
