domain,method,principal_seed,sigma,violation_step_rate,violation_delta_from_clean,critical_violation_step_rate,critical_delta_from_clean,constraint_violation_rate,constraint_delta_from_clean,reward,reward_delta_from_clean,success_rate,success_delta_from_clean,intervention_rate,mean_action_correction_l2,max_action_correction_l2,mean_noise_l2,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,selected_lower_than_proposed_rate,emergency_fallback_rate,steps_object_grasped,source
robotics,clipping,123,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.6845167553109995,-0.01747777374262105,0.0,0.0,0.0085,0.00444909518957138,0.5514497756958008,0.11695905599277466,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-clipping-seed-123-sigma-0p05.json
robotics,clipping,123,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6510756274410028,-0.050918901612617806,0.0,0.0,0.0075,0.003995622098445892,0.567867636680603,0.23880277722235768,0.0,0.0,0.0,0.0,70,results\safety\gaussian-robustness\runs\robotics-clipping-seed-123-sigma-0p10.json
robotics,clipping,42,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.6948094464834619,-0.00011546329314215953,0.0,0.0,0.025,0.010488480657339094,0.5634680986404419,0.023706519036088138,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-clipping-seed-42-sigma-0p01.json
robotics,clipping,42,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.787002046129746,0.09207713635314196,0.0,0.0,0.027,0.011877321794629095,0.5749236345291138,0.11626960591319949,0.0,0.0,0.0,0.0,60,results\safety\gaussian-robustness\runs\robotics-clipping-seed-42-sigma-0p05.json
robotics,clipping,42,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8597165549631447,0.16479164518654066,0.0,0.0,0.0445,0.017271684199571605,0.612358808517456,0.23443997148796916,0.0,0.0,0.0,0.0,227,results\safety\gaussian-robustness\runs\robotics-clipping-seed-42-sigma-0p10.json
robotics,clipping,456,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.6367829686864632,2.5720690989272654e-06,0.0,0.0,0.0,0.0,0.0,0.023525232832180335,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-clipping-seed-456-sigma-0p01.json
robotics,clipping,456,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.6211357554741814,-0.01564464114318287,0.0,0.0,0.0,0.0,0.0,0.11771223065908998,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-clipping-seed-456-sigma-0p05.json
robotics,clipping,456,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5378237294671548,-0.09895666715020945,0.0,0.0,0.001,0.0001943452358245847,0.22491306066513034,0.23961491640843452,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-clipping-seed-456-sigma-0p10.json
robotics,lyapunov,123,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.7007750650695265,-0.0012194639840941157,0.0,0.0,0.0085,0.004422053754329682,0.5334157943725586,0.023420131465652957,0.0,1.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-lyapunov-seed-123-sigma-0p01.json
robotics,lyapunov,123,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.6845167553109995,-0.01747777374262105,0.0,0.0,0.0085,0.00444909518957138,0.5514497756958008,0.11695905599277466,0.0,1.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-lyapunov-seed-123-sigma-0p05.json
