domain,perturbation_family,perturbation_name,method,principal_seed,violation_step_rate,clean_violation_step_rate,violation_delta_from_clean,critical_violation_step_rate,constraint_violation_rate,reward,clean_reward,reward_delta_from_clean,success_rate,clean_success_rate,success_delta_from_clean,intervention_rate,mean_action_correction_l2,max_action_correction_l2,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,selected_lower_than_proposed_rate,emergency_fallback_rate,steps_object_grasped,interventions_while_grasped,source
autonomous_driving,obstacle_distance,obstacle_distance_plus_0p05,lyapunov,123,0.0,0.0,0.0,0.0,0.0,-8.685273887244882,-8.588031328756164,-0.09724255848871799,0.0,0.0,0.0,0.8345,0.24292986851930617,0.4374678134918213,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-obstacle-distance-plus-0p05-lyapunov-seed-123.json
autonomous_driving,obstacle_distance,obstacle_distance_plus_0p05,lyapunov,42,0.0,0.0,0.0,0.0,0.0,-11.348676867846994,-11.330714319001789,-0.01796254884520465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-obstacle-distance-plus-0p05-lyapunov-seed-42.json
autonomous_driving,obstacle_distance,obstacle_distance_plus_0p05,lyapunov,456,0.0,0.0,0.0,0.0,0.0,4.37646499683128,4.2810686987899205,0.09539629804135963,1.0,1.0,0.0,0.4035,0.19372715306282043,0.5184503793716431,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-obstacle-distance-plus-0p05-lyapunov-seed-456.json
autonomous_driving,obstacle_distance,obstacle_distance_plus_0p05,none,123,0.8355,0.839,-0.0034999999999999476,0.0,0.8355,-8.814105488859626,-8.72040274432206,-0.09370274453756622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-obstacle-distance-plus-0p05-none-seed-123.json
autonomous_driving,obstacle_distance,obstacle_distance_plus_0p05,none,42,0.0,0.0,0.0,0.0,0.0,-11.348676867846994,-11.330714319001789,-0.01796254884520465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-obstacle-distance-plus-0p05-none-seed-42.json
autonomous_driving,obstacle_distance,obstacle_distance_plus_0p05,none,456,0.3194523673702225,0.33352272727272725,-0.01407035990250477,0.05932686822589846,0.4877353108956075,-7.402715062107024,-7.549571968284115,0.14685690617709124,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-obstacle-distance-plus-0p05-none-seed-456.json
autonomous_driving,obstacle_distance,obstacle_distance_plus_0p10,clipping,123,0.0,0.0,0.0,0.0,0.0,-8.788596053991304,-8.588031328756164,-0.20056472523513946,0.0,0.0,0.0,0.7945,0.23108878272771835,0.4354548454284668,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-obstacle-distance-plus-0p10-clipping-seed-123.json
autonomous_driving,obstacle_distance,obstacle_distance_plus_0p10,clipping,42,0.0,0.0,0.0,0.0,0.0,-11.367836498019663,-11.330714319001789,-0.0371221790178744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-obstacle-distance-plus-0p10-clipping-seed-42.json
autonomous_driving,obstacle_distance,obstacle_distance_plus_0p10,clipping,456,0.0,0.0,0.0,0.0,0.0,4.4735627298194744,4.2810686987899205,0.19249403102955398,1.0,1.0,0.0,0.3935,0.1885523700118065,0.51767897605896,0.0,0.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-obstacle-distance-plus-0p10-clipping-seed-456.json
autonomous_driving,obstacle_distance,obstacle_distance_plus_0p10,lyapunov,123,0.0,0.0,0.0,0.0,0.0,-8.788596053991304,-8.588031328756164,-0.20056472523513946,0.0,0.0,0.0,0.7945,0.23108878272771835,0.4354548454284668,0.0,1.0,0.0,0.0,0,0,results\safety\structured-state-robustness\runs\autonomous-driving-obstacle-distance-plus-0p10-lyapunov-seed-123.json
