domain,perturbation_name,perturbation_family,method,principal_seed,perturbed_violation_step_rate,executed_violation_step_rate,executed_violation_delta_from_clean,unsafe_perturbed_steps,recovered_unsafe_steps,unresolved_unsafe_steps,recovery_rate,within_filter_violation_reduction,mean_reward,reward_delta_from_clean,success_rate,success_delta_from_clean,intervention_rate,mean_action_perturbation_l2,mean_safety_correction_l2,p95_safety_correction_l2,environment_interface_adjustment_rate,strict_lyapunov_decrease_rate,selected_lower_than_perturbed_rate,steps_object_grasped,proposed_to_perturbed_gripper_semantic_change_rate,perturbed_to_executed_gripper_semantic_change_rate
autonomous_driving,acceleration_plus_0p25,acceleration,lyapunov,123,1.0,0.0,0.0,2000,2000,0,1.0,1.0,-8.568795186978395,0.019236141777769333,0.0,0.0,1.0,0.25,0.5338478340506554,0.5828979015350342,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_plus_0p25,acceleration,lyapunov,42,1.0,0.0,0.0,2000,2000,0,1.0,1.0,-11.298273349984601,0.032440969017187626,0.0,0.0,1.0,0.25,0.4567596498131752,0.4758085012435913,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_plus_0p25,acceleration,lyapunov,456,0.435,0.0,0.0,870,870,0,1.0,1.0,3.8341885686720385,-0.44688013011788197,1.0,0.0,0.4945,0.25,0.31990166610479354,0.7611243724822998,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_plus_0p25,acceleration,none,123,1.0,1.0,0.16100000000000003,2000,0,2000,0.0,0.0,-9.117222761103148,-0.39682001678108847,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_plus_0p25,acceleration,none,42,1.0,1.0,1.0,2000,0,2000,0.0,0.0,-11.535130948936018,-0.20441662993422938,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_plus_0p25,acceleration,none,456,0.3261776982707215,0.3261776982707215,-0.007345029002005732,547,0,547,0.0,0.0,-9.299387481594191,-1.7498155133100761,0.05,-0.09999999999999999,0.0,0.25,0.0,0.0,0.07096004770423375,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_minus_0p10,braking,clipping,123,0.838,0.0,0.0,1676,1676,0,1.0,1.0,-8.36234800482734,0.22568332392882517,0.0,0.0,0.838,0.10000000149011612,0.2458742006421089,0.33291101455688477,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_minus_0p10,braking,clipping,42,0.0,0.0,0.0,0,0,0,,,-11.102353417465727,0.22836090153606214,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_minus_0p10,braking,clipping,456,0.2525,0.2525,0.2525,505,0,505,0.0,0.0,3.730923680847592,-0.5501450179423286,1.0,0.0,0.2525,0.10000000149011612,0.10775719685852528,0.43809574842453003,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_minus_0p10,braking,lyapunov,123,0.838,0.0,0.0,1676,1676,0,1.0,1.0,-8.36234800482734,0.22568332392882517,0.0,0.0,0.838,0.10000000149011612,0.2458742006421089,0.33291101455688477,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_minus_0p10,braking,lyapunov,42,0.0,0.0,0.0,0,0,0,,,-11.102353417465727,0.22836090153606214,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_minus_0p10,braking,lyapunov,456,0.2015,0.1885,0.1885,403,26,377,0.06451612903225806,0.06451612903225812,3.69477115640714,-0.5862975423827805,1.0,0.0,0.2615,0.10000000149011612,0.13763668251037597,0.8221468329429626,0.0,0.001,0.2615,0,0.0,0.0
autonomous_driving,braking_minus_0p10,braking,none,123,0.8395,0.8395,0.000500000000000056,1679,0,1679,0.0,0.0,-8.488283122424628,0.23211962189743218,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_minus_0p10,braking,none,42,0.0,0.0,0.0,0,0,0,,,-11.102353417465727,0.22836090153606214,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_minus_0p10,braking,none,456,0.11799410029498525,0.11799410029498525,-0.215528626977742,200,0,200,0.0,0.0,-7.241947695670371,0.3076242726137446,0.15,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_minus_0p25,braking,clipping,123,0.839,0.0,0.0,1678,1678,0,1.0,1.0,-8.098827262958542,0.48920406579762243,0.0,0.0,0.839,0.25,0.2465591625571251,0.3334314823150635,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_minus_0p25,braking,clipping,42,0.0,0.0,0.0,0,0,0,,,-11.755319911296027,-0.4246055922942382,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,braking_minus_0p25,braking,clipping,456,0.2605,0.2605,0.2605,521,0,521,0.0,0.0,3.7343328089057772,-0.5467358898841432,1.0,0.0,0.825,0.25,0.1760180348008871,0.52828449010849,0.0,0.0,0.0,0,0.0,0.0
